vendor,bulletin_id,published_date,year,month,cve_id
google,google-2020-01-01,2020-01-01,2020,1,CVE-2018-11843
google,google-2020-01-01,2020-01-01,2020,1,CVE-2018-20856
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10486
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10494
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10503
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10532
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10548
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10558
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10578
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10579
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10581
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10582
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10583
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10585
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10602
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10606
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-10611
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14002
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14003
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14004
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14005
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14006
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14008
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14010
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14013
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14014
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14016
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14017
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14023
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14024
google,google-2020-01-01,2020-01-01,2020,1,CVE-2019-14034
