cve_id,month_year,severity
CVE-2020-0338,2022-01,High
CVE-2021-0643,2022-01,High
CVE-2021-0934,2022-01,High
CVE-2021-39618,2022-01,High
CVE-2021-39620,2022-01,High
CVE-2021-39621,2022-01,High
CVE-2021-39622,2022-01,High
CVE-2021-39623,2022-01,High
CVE-2021-39625,2022-01,High
CVE-2021-39626,2022-01,High
CVE-2021-39627,2022-01,High
CVE-2021-39628,2022-01,High
CVE-2021-39629,2022-01,High
CVE-2021-39630,2022-01,High
CVE-2021-39632,2022-01,High
CVE-2021-39659,2022-01,High
CVE-2021-30275,2022-01,Critical
CVE-2021-30276,2022-01,Critical
CVE-2021-30351,2022-01,Critical
CVE-2020-0368,2022-01,High
CVE-2020-11263,2022-01,High
CVE-2021-0675,2022-01,High
CVE-2021-0904,2022-01,High
CVE-2021-0971,2022-01,High
CVE-2021-1894,2022-01,High
CVE-2021-1918,2022-01,High
CVE-2021-30262,2022-01,High
CVE-2021-30267,2022-01,High
CVE-2021-30268,2022-01,High
CVE-2021-30273,2022-01,High
CVE-2021-30274,2022-01,High
CVE-2021-30278,2022-01,High
CVE-2021-30279,2022-01,High
CVE-2021-30282,2022-01,High
CVE-2021-30283,2022-01,High
CVE-2021-30289,2022-01,High
CVE-2021-30293,2022-01,High
CVE-2021-30303,2022-01,High
CVE-2021-30335,2022-01,High
CVE-2021-30336,2022-01,High
CVE-2021-30337,2022-01,High
CVE-2021-33909,2022-01,High
CVE-2021-38204,2022-01,High
CVE-2021-0961,2022-01,Moderate
CVE-2021-39675,2022-02,Critical
CVE-2020-13112,2022-02,High
CVE-2020-13113,2022-02,High
CVE-2021-0706,2022-02,High
CVE-2021-39619,2022-02,High
CVE-2021-39662,2022-02,High
CVE-2021-39663,2022-02,High
CVE-2021-39664,2022-02,High
CVE-2021-39665,2022-02,High
CVE-2021-39666,2022-02,High
CVE-2021-39668,2022-02,High
CVE-2021-39669,2022-02,High
CVE-2021-39671,2022-02,High
CVE-2021-39674,2022-02,High
CVE-2021-39676,2022-02,High
CVE-2021-0922,2022-02,Moderate
CVE-2021-30285,2022-02,Critical
CVE-2021-0959,2022-02,High
CVE-2021-1049,2022-02,High
CVE-2021-30287,2022-02,High
CVE-2021-30300,2022-02,High
CVE-2021-30301,2022-02,High
CVE-2021-30307,2022-02,High
CVE-2021-30308,2022-02,High
CVE-2021-30311,2022-02,High
CVE-2021-30319,2022-02,High
CVE-2021-30353,2022-02,High
CVE-2021-31345,2022-02,High
CVE-2021-31346,2022-02,High
CVE-2021-31889,2022-02,High
CVE-2021-31890,2022-02,High
CVE-2021-39633,2022-02,High
CVE-2021-39634,2022-02,High
CVE-2021-40148,2022-02,High
CVE-2021-39708,2022-03,Critical
CVE-2021-0957,2022-03,High
CVE-2021-39667,2022-03,High
CVE-2021-39690,2022-03,High
CVE-2021-39692,2022-03,High
CVE-2021-39693,2022-03,High
CVE-2021-39695,2022-03,High
CVE-2021-39697,2022-03,High
CVE-2021-39701,2022-03,High
CVE-2021-39702,2022-03,High
CVE-2021-39703,2022-03,High
CVE-2021-39704,2022-03,High
CVE-2021-39705,2022-03,High
CVE-2021-39706,2022-03,High
CVE-2021-39707,2022-03,High
CVE-2021-39709,2022-03,High
CVE-2021-39689,2022-03,Moderate
CVE-2021-30317,2022-03,Critical
CVE-2021-30309,2022-03,High
CVE-2021-30318,2022-03,High
CVE-2021-30322,2022-03,High
CVE-2021-30323,2022-03,High
CVE-2021-30326,2022-03,High
CVE-2021-35068,2022-03,High
CVE-2021-35069,2022-03,High
CVE-2021-35074,2022-03,High
CVE-2021-35075,2022-03,High
CVE-2021-35077,2022-03,High
CVE-2021-39616,2022-03,High
CVE-2021-39631,2022-03,High
CVE-2021-39635,2022-03,High
CVE-2021-39658,2022-03,High
CVE-2021-39672,2022-03,High
CVE-2022-20024,2022-03,High
CVE-2022-20025,2022-03,High
CVE-2022-20027,2022-03,High
CVE-2022-20028,2022-03,High
CVE-2022-20489,2023-01,High
CVE-2022-20490,2023-01,High
CVE-2022-20492,2023-01,High
CVE-2022-20493,2023-01,High
CVE-2023-20912,2023-01,High
CVE-2023-20916,2023-01,High
CVE-2023-20919,2023-01,High
CVE-2023-20920,2023-01,High
CVE-2023-20921,2023-01,High
CVE-2022-20494,2023-01,High
CVE-2023-20908,2023-01,High
CVE-2023-20922,2023-01,High
CVE-2022-20461,2023-01,High
CVE-2023-20904,2023-01,High
CVE-2023-20905,2023-01,High
CVE-2023-20913,2023-01,High
CVE-2023-20915,2023-01,High
CVE-2022-23960,2023-01,High
CVE-2021-39660,2023-01,High
CVE-2022-32594,2023-01,High
CVE-2022-32596,2023-01,High
CVE-2022-32597,2023-01,High
CVE-2022-32598,2023-01,High
CVE-2022-32619,2023-01,High
CVE-2022-32620,2023-01,High
CVE-2022-39106,2023-01,High
CVE-2022-39131,2023-01,High
CVE-2022-39132,2023-01,High
CVE-2022-39133,2023-01,High
CVE-2022-39134,2023-01,High
CVE-2022-42754,2023-01,High
CVE-2022-42755,2023-01,High
CVE-2022-42756,2023-01,High
CVE-2022-42770,2023-01,High
CVE-2022-42771,2023-01,High
CVE-2022-42772,2023-01,High
CVE-2022-39129,2023-01,High
CVE-2022-39130,2023-01,High
CVE-2022-33268,2023-01,High
CVE-2022-25672,2023-01,High
CVE-2022-25673,2023-01,High
CVE-2022-25681,2023-01,High
CVE-2022-25682,2023-01,High
CVE-2022-25685,2023-01,High
CVE-2022-25689,2023-01,High
CVE-2022-25691,2023-01,High
CVE-2022-25692,2023-01,High
CVE-2022-25695,2023-01,High
CVE-2022-25697,2023-01,High
CVE-2022-25698,2023-01,High
CVE-2022-25702,2023-01,High
CVE-2022-33235,2023-01,High
CVE-2022-33238,2023-01,High
CVE-2022-20443,2023-02,High
CVE-2022-20551,2023-02,High
CVE-2023-20934,2023-02,High
CVE-2023-20942,2023-02,High
CVE-2023-20943,2023-02,High
CVE-2023-20944,2023-02,High
CVE-2023-20948,2023-02,High
CVE-2023-20933,2023-02,High
CVE-2022-43680,2023-02,High
CVE-2023-20939,2023-02,High
CVE-2023-20940,2023-02,High
CVE-2023-20945,2023-02,High
CVE-2023-20946,2023-02,High
CVE-2022-20481,2023-02,High
CVE-2023-20932,2023-02,High
CVE-2022-20455,2023-02,High
CVE-2020-27059,2023-02,High
CVE-2022-20006,2023-02,High
CVE-2022-20441,2023-02,High
CVE-2022-20451,2023-02,High
CVE-2022-42719,2023-02,Critical
CVE-2022-42720,2023-02,Critical
CVE-2022-42721,2023-02,Critical
CVE-2022-41674,2023-02,Critical
CVE-2022-22088,2023-02,Critical
CVE-2021-35097,2023-02,Critical
CVE-2021-35113,2023-02,Critical
CVE-2021-35134,2023-02,Critical
CVE-2022-2959,2023-02,High
CVE-2023-20928,2023-02,High
CVE-2022-20235,2023-02,High
CVE-2022-32635,2023-02,High
CVE-2022-32636,2023-02,High
CVE-2022-32637,2023-02,High
CVE-2022-44425,2023-02,High
CVE-2022-44426,2023-02,High
CVE-2022-44427,2023-02,High
CVE-2022-44428,2023-02,High
CVE-2022-44429,2023-02,High
CVE-2022-44430,2023-02,High
CVE-2022-44431,2023-02,High
CVE-2022-44432,2023-02,High
CVE-2022-44434,2023-02,High
CVE-2022-44435,2023-02,High
CVE-2022-44436,2023-02,High
CVE-2022-44437,2023-02,High
CVE-2022-44438,2023-02,High
CVE-2022-33255,2023-02,High
CVE-2022-23960,2023-02,High
CVE-2022-25725,2023-02,High
CVE-2022-25746,2023-02,High
CVE-2022-33252,2023-02,High
CVE-2022-33253,2023-02,High
CVE-2022-33266,2023-02,High
CVE-2022-33274,2023-02,High
CVE-2022-33276,2023-02,High
CVE-2022-33283,2023-02,High
CVE-2022-33284,2023-02,High
CVE-2022-33285,2023-02,High
CVE-2022-33286,2023-02,High
CVE-2023-20951,2023-03,Critical
CVE-2023-20954,2023-03,Critical
CVE-2023-20906,2023-03,High
CVE-2023-20911,2023-03,High
CVE-2023-20917,2023-03,High
CVE-2023-20947,2023-03,High
CVE-2023-20963,2023-03,High
CVE-2023-20956,2023-03,High
CVE-2023-20958,2023-03,High
CVE-2023-20964,2023-03,High
CVE-2023-20926,2023-03,High
CVE-2023-20931,2023-03,High
CVE-2023-20936,2023-03,High
CVE-2023-20953,2023-03,High
CVE-2023-20955,2023-03,High
CVE-2023-20957,2023-03,High
CVE-2023-20959,2023-03,High
CVE-2023-20960,2023-03,High
CVE-2023-20966,2023-03,High
CVE-2022-4452,2023-03,High
CVE-2022-20467,2023-03,High
CVE-2023-20929,2023-03,High
CVE-2023-20952,2023-03,High
CVE-2023-20962,2023-03,High
CVE-2022-20499,2023-03,High
CVE-2023-20910,2023-03,High
CVE-2022-33243,2023-03,Critical
CVE-2022-33280,2023-03,Critical
CVE-2022-33232,2023-03,Critical
CVE-2022-40514,2023-03,Critical
CVE-2022-39189,2023-03,High
CVE-2022-39842,2023-03,High
CVE-2022-41222,2023-03,High
CVE-2023-20937,2023-03,High
CVE-2023-20938,2023-03,High
CVE-2022-0850,2023-03,High
CVE-2023-20602,2023-03,High
CVE-2022-47331,2023-03,High
CVE-2022-47339,2023-03,High
CVE-2022-33221,2023-03,High
CVE-2022-33233,2023-03,High
CVE-2022-33248,2023-03,High
CVE-2022-33271,2023-03,High
CVE-2022-33277,2023-03,High
CVE-2022-33306,2023-03,High
CVE-2022-34145,2023-03,High
CVE-2022-34146,2023-03,High
CVE-2022-40502,2023-03,High
CVE-2022-40512,2023-03,High
CVE-2023-21085,2023-04,Critical
CVE-2023-21096,2023-04,Critical
CVE-2023-21081,2023-04,High
CVE-2023-21088,2023-04,High
CVE-2023-21089,2023-04,High
CVE-2023-21092,2023-04,High
CVE-2023-21094,2023-04,High
CVE-2023-21097,2023-04,High
CVE-2023-21098,2023-04,High
CVE-2023-21087,2023-04,High
CVE-2023-21090,2023-04,High
CVE-2022-20463,2023-04,High
CVE-2023-20967,2023-04,High
CVE-2023-21084,2023-04,High
CVE-2023-21086,2023-04,High
CVE-2023-21093,2023-04,High
CVE-2023-21099,2023-04,High
CVE-2023-21100,2023-04,High
CVE-2022-20471,2023-04,High
CVE-2023-20909,2023-04,High
CVE-2023-20935,2023-04,High
CVE-2023-21080,2023-04,High
CVE-2023-21082,2023-04,High
CVE-2023-21083,2023-04,High
CVE-2023-21091,2023-04,High
CVE-2023-20950,2023-04,Moderate
CVE-2022-33213,2023-04,Critical
CVE-2022-33256,2023-04,Critical
CVE-2021-33655,2023-04,High
CVE-2023-20620,2023-04,High
CVE-2023-20621,2023-04,High
CVE-2023-20623,2023-04,High
CVE-2022-47459,2023-04,High
CVE-2022-47461,2023-04,High
CVE-2022-47462,2023-04,High
CVE-2022-47460,2023-04,High
CVE-2022-22075,2023-04,High
CVE-2022-40537,2023-04,High
CVE-2022-40540,2023-04,High
CVE-2022-25655,2023-04,High
CVE-2022-25694,2023-04,High
CVE-2022-25705,2023-04,High
CVE-2022-25709,2023-04,High
CVE-2022-33242,2023-04,High
CVE-2022-33244,2023-04,High
CVE-2022-33250,2023-04,High
CVE-2022-33254,2023-04,High
CVE-2022-33272,2023-04,High
CVE-2022-33278,2023-04,High
CVE-2022-33309,2023-04,High
CVE-2022-40515,2023-04,High
CVE-2022-40527,2023-04,High
CVE-2022-40530,2023-04,High
CVE-2022-40531,2023-04,High
CVE-2022-40535,2023-04,High
CVE-2021-39617,2023-05,High
CVE-2022-20338,2023-05,High
CVE-2023-20993,2023-05,High
CVE-2023-21109,2023-05,High
CVE-2023-21117,2023-05,High
CVE-2023-20914,2023-05,High
CVE-2023-21104,2023-05,High
CVE-2023-20930,2023-05,High
CVE-2023-21110,2023-05,High
CVE-2022-20444,2023-05,High
CVE-2023-21107,2023-05,High
CVE-2023-21112,2023-05,High
CVE-2023-21118,2023-05,High
CVE-2023-21103,2023-05,High
CVE-2023-21111,2023-05,High
CVE-2023-21100,2023-05,High
CVE-2023-21116,2023-05,Moderate
CVE-2022-33231,2023-05,Critical
CVE-2022-33288,2023-05,Critical
CVE-2022-33289,2023-05,Critical
CVE-2022-33302,2023-05,Critical
CVE-2022-4696,2023-05,High
CVE-2023-20941,2023-05,High
CVE-2022-33917,2023-05,High
CVE-2022-36449,2023-05,High
CVE-2022-38181,2023-05,High
CVE-2022-41757,2023-05,High
CVE-2022-42716,2023-05,High
CVE-2021-0872,2023-05,High
CVE-2021-0873,2023-05,High
CVE-2021-0874,2023-05,High
CVE-2021-0875,2023-05,High
CVE-2021-0876,2023-05,High
CVE-2021-0878,2023-05,High
CVE-2021-0879,2023-05,High
CVE-2021-0880,2023-05,High
CVE-2021-0881,2023-05,High
CVE-2021-0882,2023-05,High
CVE-2021-0883,2023-05,High
CVE-2021-0884,2023-05,High
CVE-2021-0885,2023-05,High
CVE-2022-32599,2023-05,High
CVE-2023-20652,2023-05,High
CVE-2023-20653,2023-05,High
CVE-2023-20654,2023-05,High
CVE-2023-20655,2023-05,High
CVE-2023-20656,2023-05,High
CVE-2023-20657,2023-05,High
CVE-2022-47335,2023-05,High
CVE-2022-47338,2023-05,High
CVE-2022-47336,2023-05,High
CVE-2022-47337,2023-05,High
CVE-2022-40503,2023-05,High
CVE-2022-33269,2023-05,High
CVE-2022-33270,2023-05,High
CVE-2022-40532,2023-05,High
CVE-2023-21630,2023-05,High
CVE-2023-21127,2023-06,Critical
CVE-2023-21108,2023-06,Critical
CVE-2023-21130,2023-06,Critical
CVE-2023-21126,2023-06,High
CVE-2023-21128,2023-06,High
CVE-2023-21129,2023-06,High
CVE-2023-21131,2023-06,High
CVE-2023-21139,2023-06,High
CVE-2023-21105,2023-06,High
CVE-2023-21136,2023-06,High
CVE-2023-21137,2023-06,High
CVE-2023-21143,2023-06,High
CVE-2023-21115,2023-06,High
CVE-2023-21121,2023-06,High
CVE-2023-21122,2023-06,High
CVE-2023-21123,2023-06,High
CVE-2023-21124,2023-06,High
CVE-2023-21135,2023-06,High
CVE-2023-21138,2023-06,High
CVE-2023-21095,2023-06,High
CVE-2023-21141,2023-06,High
CVE-2023-21142,2023-06,High
CVE-2023-21144,2023-06,High
CVE-2023-21102,2023-06,High
CVE-2023-21106,2023-06,High
CVE-2022-46394,2023-06,High
CVE-2022-46395,2023-06,High
CVE-2022-46396,2023-06,High
CVE-2022-46891,2023-06,High
CVE-2023-26085,2023-06,High
CVE-2021-0877,2023-06,High
CVE-2023-20694,2023-06,High
CVE-2023-20695,2023-06,High
CVE-2023-20696,2023-06,High
CVE-2023-20699,2023-06,High
